CountryCode,KindCode,GCKindCode
AT,A,A
AT,A1,A1
AT,A2,A2
AT,B,B
AT,B1,B1
AT,U,U
AT,U1,U1
AT,U2,U2
AT,,
BE,A,A
BE,A1,A1
BE,A2,A2
BE,A3,A
BE,AA,A
BE,AB,A1
BE,AD,A3
BE,AG,A6
BE,,
CA,A1,A1
CA,A2,A2
CA,AA,A1
CA,C,C
CA,,
CH,A1,A1
CH,A2,A2
CH,B,B
CH,B1,B1
CH,,
DE,A1,A1
DE,B3,B3
DE,B4,B4
DE,C1,C1
DE,U,U
DE,U1,U1
DE,,
DK,A,A
DK,A0,A0
DK,A1,A1
DK,A5,A5
DK,B1,B1
DK,C,C
DK,U1,U1
DK,U3,U3
DK,U4,U4
DK,Y3,Y3
DK,Y4,Y4
DK,,
EP,A1,A1
EP,A2,A2
EP,B1,B1
EP,,
ES,A1,A1
ES,A2,A2
ES,A6,A6
ES,AA,A
ES,AB,A
ES,BA,B1
ES,BB,B2
ES,U,U
ES,U1,U1
ES,U4,U
ES,UA,U
ES,Y,Y
ES,Y2,Y2
ES,Y4,Y4
ES,,
FI,A,A
FI,A0,A
FI,A1,A
FI,A7,A
FI,B1,B1
FI,C,C
FI,U0,U0
FI,U1,U1
FI,Y1,Y1
FI,,
FR,A1,A1
FR,A3,A3
FR,A5,A5
FR,A7,A7
FR,B1,B1
FR,B3,B3
FR,,
GB,A,A
GB,A0,A
GB,A1,A
GB,B2,B
GB,,
GR,A,A
GR,B,B
GR,B1,B1
GR,B2,B2
GR,U,U
GR,Y,Y
GR,,
IE,A1,A1
IE,A2,A2
IE,B,B1
IE,B3,B2
IE,Y1,Y1
IE,,
IT,A0,A0
IT,A1,A1
IT,A3,A3
IT,B1,B1
IT,P,P
IT,P1,P1
IT,U,U
IT,U0,U0
IT,U1,U1
IT,U3,U3
IT,V0,V0
IT,Y1,Y1
IT,,
JP,A,A
JP,A2,A2
JP,B1,B1
JP,B2,B2
JP,C1,C1
JP,C2,C2
JP,C3,C3
JP,U1,U1
JP,Z1,Z1
JP,Z2,Z2
JP,,
LU,A1,A1
LU,A2,A2
LU,A4,A4
LU,B1,B1
LU,,
NL,A,A
NL,A1,A1
NL,B,B
NL,C,C
NL,C1,C1
NL,C2,C2
NL,,
PT,A,A
PT,B,B
PT,U,U
PT,Y,Y
PT,,
SE,A,A
SE,A0,A0
SE,A1,A1
SE,C,C
SE,C1,C1
SE,C2,C2
SE,,
US,AA,A1
US,BA,B1
US,BB,B2
US,P1,P1
US,P2,P2
US,P3,P3
US,,
WO,A1,A1
WO,A2,A2
WO,,