patbase_language_code,gc_language_code,language,charset
ar,ar,Arabic,non-Latin
az,az,Azerbaijani,non-Latin
be,be,Belarusian,non-Latin
bg,bg,Bulgarian,non-Latin
cs,cs,Czech,latin
da,da,Danish,latin
de,de,German,latin
el,el,Greek,non-Latin
en,en,English,latin
es,es,Spanish,latin
et,et,Estonian,latin
fa,fa,Persian,non-Latin
fi,fi,Finnish,latin
fr,fr,French,latin
he,he,Hebrew,non-Latin
hi,hi,Hindi,non-Latin
hu,hu,Hungarian,non-Latin
hy,hy,Armenian,non-Latin
id,id,Indonesian,non-Latin
it,it,Italian,latin
jp,ja,Japanese,non-Latin
ka,ka,Georgian,non-Latin
kk,kk,Kazakh,non-Latin
kr,ko,Korean,non-Latin
lt,lt,Lithuanian,latin
lv,lv,Latvian,latin
mk,mk,Macedonian,non-Latin
ms,ms,Malay,non-Latin
nl,nl,Dutch,latin
no,no,Norwegian,latin
pl,pl,Polish,latin
pt,pt,Portuguese,latin
ro,ro,Romanian,non-Latin
ru,ru,Russian,non-Latin
si,si,Sinhala,non-Latin
sk,sk,Slovak,latin
sl,sl,Slovenian,latin
sq,sq,Albanian,latin
sv,sv,Swedish,latin
th,th,Thai,non-Latin
tr,tr,Turkish,non-latin
uk,uk,Ukrainian,non-Latin
cn,zh,Chinese,non-Latin
bn,bn,Bengali,non-Latin
bs,bs,Bosnian,non-Latin
hr,hr,Croatian,latin
is,is,Icelandic,latin
lb,lb,Luxembourgish,latin
lo,lo,Lao,non-Latin
ma,mt,Maltese,latin
mn,mn,Mongolian,non-Latin
mo,mo,Moldovan,non-Latin
ny,ny,Chichewa,latin
pa,pa,Punjabi,non-Latin
sr,sr,Serbian,non-Latin
st,st,Sesotho,non-Latin
tg,tg,Tajiki,non-Latin
tk,tk,Turkmen,non-Latin
uz,uz,Uzbek,non-Latin
vi,vi,Vietnamese,non-Latin