CountryCode,KindCode,publication_title
AP,A0,
AP,,
AR,AA,
AR,AB,
AR,,
AU,AA,
AU,AD,
AU,BB,
AU,BD,
AU,,
BR,A2,
BR,A8,
BR,B1,
BR,,
CA,AA,
CA,C,
CA,,
CH,A1,
CH,A2,
CH,,Swiss Patent
CL,A1,
CL,B,
CL,,
CN,A,
CN,B,
CN,U,
CN,,
CO,A1,
CO,A2,
CO,,
CR,A,
CR,,
DE,A1,
DE,B3,
DE,B4,
DE,D1,
DE,T1,
DE,T8,
DE,U1,
DE,,
DK,T1,
DK,T3,
DK,,
EA,A1,
EA,A2,
EA,A3,
EA,B1,
EA,,
EP,A1,
EP,A2,
EP,A3,
EP,A4,
EP,B1,
EP,B2,
EP,,
ES,T1,
ES,T3,
ES,UA,
ES,Y,
ES,Y1,
ES,,
FI,A,
FI,,
FR,A1,
FR,A3,
FR,B1,
FR,B3,
FR,,
GB,A0,UK Patent Application
GB,A1,UK Patent Application
GB,B2,UK Patent
GB,,UK Patent
GE,B,
GE,,
HK,A1,
HK,B,
HK,,
HR,T1,
HR,T8,
HR,,
HU,T2,
HU,,
ID,A,
ID,B,
ID,,
IL,A0,
IL,A1,
IL,AA,
IL,,
IN,A,
IN,B,
IN,,
IT,A1,
IT,U1,
IT,,
JP,A2,
JP,B1,
JP,B2,
JP,T2,
JP,,
KR,A,
KR,B1,
KR,,
LT,T,
LT,,
MA,A,
MA,A1,
MA,B1,
MA,,
MK,T1,
MK,,
MX,A1,
MX,B,
MX,,
MY,A,
MY,,
PE,A1,
PE,,
PH,A,
PH,,
PL,T3,
PL,T5,
PL,,
PT,A,
PT,T,
PT,U,
PT,,
RS,B1,
RS,,
RU,A,
RU,A3,
RU,C1,
RU,C2,
RU,,
SE,A1,
SE,C2,
SE,,
SG,A1,
SG,,
SI,T1,
SI,,
SK,U1,
SK,Y1,
SK,,
TH,A,
TH,B,
TH,,
TN,A1,
TN,,
TR,T4,
TR,,
TW,A,
TW,B,
TW,,
UA,C2,
UA,U,
UA,,
US,AA,
US,BA,
US,BB,
US,E,
US,,
UY,A1,
UY,,
VN,A,
VN,B,
VN,,
WO,A1,
WO,A2,
WO,A3,
WO,A8,
WO,,
ZA,A,
ZA,,